Ulasan;produk;;;;;;;;;;;
Dicas bukan makin nambah malah makin berkurang harus bagaimana ya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X15;;;;;;;;;;;
Kalau ga niat jualan gausah jualan barang rusak dijual di ces bluetooth kaga ngisi apaan pantes harga murah barang murahan ini sudah ada buktinya pertama buka;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X16;;;;;;;;;;;
Ga bisa nyala dan ga bisa di cas sudah percaya beli malah mengecewakan datangnya juga lama pengemasan lama 2 hari baru di kasih ke ekpedisi;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X17;;;;;;;;;;;
Maaf kak ini maksudnya gimana ya?;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X18;;;;;;;;;;;
Barang sudah sampai; kotak aman packingan rapih sampai susah buka. Barangnya pun keliatan bagus; tapi waktu di charge daya gak masuk.;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X19;;;;;;;;;
"Jam tangannya sdh sampai dg selamat pengiriman cepat tpi saya blm bisa menggunakan fitur""yg ada di jam tangan tersebut";"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Tolong toko nya di perbaiki lagi; konsumen komplain malah dikata2i kayak begitu. Luar biasaa;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Barangnya kurang sesuai seharusnya ada talinya di jam tersebut namun ini tidak adaa.;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Hallo ka;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Maaf pesanan saya yg tali nya di gambar seharunya Starlight bukan yang white ka;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
DJ iklan bisah pakai kartu TPI yg datang GK bisah;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Tidak dapat menemukan perangkat ;;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
kode QR nya tidak valid;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
saat paket sampai sy unboxing terlebih dahulu tetapi pas sy nyalakan jam nya ada garis putih di jamnya tolong diperhatikan lagi;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
barang rusak charger tidak konek;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Kata nya 3 barang kok datang nya cuman 1;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Kondisi packagingnya kurang bagus;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Pecah satu kaca tidak kuat 👎;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Tidak di sambungin buat wa .. jelek;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
beda banget yang di cekout di vidio sama yang aslo dtg box aja beda yampilan beda nyesel beli;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
ga sesuai ekspetasi;dteng² begini nyusahin aja;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Saya pesan x10 promasx;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Yg datang s10 promax 🤦‍♂️🤦‍♂️; barang tidak sesuai merek yg saya pesang🤦‍♂️🤦‍♂️🤦‍♂️;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
barang TDK sesuai yng di tampilkan di iklan semoga tokonya sadar;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Jamnya bagusss...tapii ada kendala di karetnya ga bisa d masukin..😭;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Sangatt tidakk rekomend ya barang rusakk!! PADHL saya beli pake duitt hadeh herannn!!!!;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Pesananya gk jelas banget salah warna;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Tidak sesuai dengan iklan;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Sudah sampai tapi kondisinya seperti ini...;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
awalnya kegoda sama yang diriview walpaper nike pas datang malah beda;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Produk tidak sesuai; barang mati total; gabisa di cas; penjual gak profesional; minta refund gak boleh;bilang mo kirim ulang tunggu 1 minggu gada kepastian; pembodohan pu...;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;
Tidak ada sim card di promonya ada;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Bg Jam nya mati; gak ada garansi???;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Kok ga bisa dicas jam;nya kk;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Kok;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Kacau datang datang gini; tidak nyala;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Ko copot ya padahal baru nyampe;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Sayank bercode gk bisa terkoneksi K hape;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Barang oke..Mudah2an Awet.;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Pengiriman saja yg lama .kurang 2menit 2tahun br sampe;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Performa: Batery hanya kuat 2 jam setelah saya charge full. Sepertinya batery mulai. Bocor;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Kualitas pengerjaan: Hadeh;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Performa sistem: Sangat kualitas;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Barang yang dijual beda dengan iklan; iklannya yang bisa menggunakan SIM card ternyata barang yang dijual tidak bisa menggunakan SIM card; harus koneksi bloutooth; kecewa...;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;
Bgs tpi sayang warna jam nya gold🫠;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
agak kecewa; awal pakai jamnya eror melulu; ga bs di setting balik terus ke setting awal jam dan tanggalnya;;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;
jam berfungsi dengan baik;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Bagus; tapi ngga tau kenapa kalo jam nya conect speakernya auto di jam; jadi ngga bisa nonton film sambil pake jam; mesti di unconnect dulu;mana speakernya pelan banget �...;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;
Ko ga bs buat kartu katanya BS buat kartu;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
sumpah bagus si; tapi batrai nya cepet banget boros nya mau dipake ga dipake tetep abis mulu;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Tidak sesuai di video bisa pake profil sendiri sama bisa pake kartu ada wifi dan data bisa di nyalakan yg datang ga ada;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Boros batre sih kalo pas nyambung di Bluetooth; gampang panas pas cas atau pas pemakaian;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
bagus cuman minesnya gk bisa sensor layar e harus di pencet tombolnya kalok mau liat waktu😭😭;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
saya beli nya 2 tapi yang datang cuma satu;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
sedikit baret di bagian atas dan sedikit cahaya yang keluar di sambungan lcd;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Tidak bisa connect ke hp padahal udh coba berkali kali berhari hari tetap tidak bisa padahal udh ikuti tutorial tutorialnya masih aja gak bisa connect;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Kadang juga dipence...;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Baterainya boros banget ternyata; dices full dipakai paling 8jam habis langsung mati;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Pengiriman puas. Barang kurang puas; suara pecah;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Tidak sesuai dengan yang di tampil kan ada Kartu SIM nya; ; ; ; yang datang tidak ad kartu SIMnya;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;
Tokonya nggak amanah; barng datang rusak udah terlepas smartwatch nya;nggak bisa di pake ;aku mau komplen nggau usah menjual kalau barang nya datang rusak ; kembaliin uan...;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;
Performa: Mengapa battery nya sangat cepat habis?;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Hanya dipakai untuk olah raga jogging; kemudian 4 jam sudah habis; pengecasan sudah dilakukan sampai terisi penuh;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;
Ini bukanya katanya bisa pakek kartu ternyata gak bisa ini udh aku coba gak ada tempat kartu SIM;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Kualitas pengerjaan: Layar nya rada mangap trs di lem sama suami;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Performa: Bagus sih untung masih idup;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Performa: Ngk di pakai sama sekali tiba² batre lobet walaupun sudah di cas penuh dan di matikan total;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Tpi tetap aja lobet;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Kualitas pengerjaan: Not bad;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Performa sistem: B...;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Katanya bisa buat SIM card trnyata engga;agak sedikit kecewa;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Tidak sesuai;pesen 10 Pro max yang datang S10 gk jelas;ngomong nya Kemasan nya doang 10 pro max;tapi tau nya isinya S10 ;minimal amanah biat berkah;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;
Di video ada SIM cardnya pas sampai tidak ada; dan saya pesan full hitam tapi di bagian sisi samping smarhwatch nya degradasi metalic brown ..;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Ga sesuai di gambar ko pas saya beli tidak bisa buat masukin kartu batre cepet habis;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Barang bagus ; tpi pas di cas 1 mlman gak masuk”😌;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Paket sudah diterima;keritik membangun;tapi sayang changer nya terlalu pendek;harus nya panjang lagi;barang murah jangan pelit kabel nya;kabel pendek begitu bikin susah;k...;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;
Dikira bisa pakai sim card makany beli liat d video;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Bagus tapi kalau kena air dikit putus putus biasa nya;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Performa: Boros batrai. Batrai cpat hbis n gak sampai seharian;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Performa sistem: Oklah; bisa dipakai nelvon..;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Koq nga bisa nyala hidup sendiri;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Kayak. Ga ada sensor yh;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
tidak bisa konek di hp susah sekali saya retur;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Performa: Untuk saya tahan baterainya jelek bgt. Ngecas nya 3 jam; tapi saya tahan baterai cuma setengah hari.;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Jujur tadinya saya mau kasih bintang 2 tapi karena respon p...;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
seller ramah tp tiba tiba ga bisa ngirim pesan lg setelah meminta bintang 5 dan sy komplain minta ganti ja;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Ko punyaku gaada fitur sensor gerak langsung nyala smartwatch nya ya??;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
sayang GK bisa konek sama hp yang satu GK konek telfon yang satu nya lagi GK konek notif pesan;;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
jam tangannya kadang ngacak sendiri ngga bisa di sentuh;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Tapi kok enggak ada tombol untuk naro kartunya.gimana caranya agar bisa tlp.;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Ini ko jam nya mati yah kenapa baru di pake 2 hari kok udh mati;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Ga sesuai vidio kamera ga ada kartu sim nol besar hoax ... Huh... Buang kesampah saja;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Agak susah di sentuh mending beli yang agak mahal tapi pasti biar enggak kecewa;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
benjolan cas nya terlalu tinggi sehingga tidak rapat;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
barang emang bagus tapi harusnya barangnya lebih bagus lagi kalo sesuai sama iklannya; ini iklan nya apa datangnya apa katanya banyak fiturnya; ada apk ai nya eh pas nyam...;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;
Barangnya bagus; menunya bagus.;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
Baterainya kok tiap hari harus dicas....;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Performa: Batrenya gak thn..blm ½hari udh mati..ghecasnya lama semalaman baru full;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;;
Performa sistem: B aja; wajar si utk hrga 100an;"Official Smartwatch 10 Pro Max 100%baruOriginal Mendukung operasi gerakanwith 2.3"" HD AMOLED Display Waterproof Bluetooth Call Smartwatch";;;;;;;;;;
